PerformanceID,EmployeeID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRatingID,SelfRating,ManagerRatingID,ManagerRating
PR01,79F7-78EC,2013-01-02,Very Satisfied,Satisfied,Very Satisfied,1,0,Satisfied,4,Exceeds Expectation,4,Exceeds Expectation
PR02,B61E-0F26,2013-01-03,Very Satisfied,Satisfied,Satisfied,1,3,Satisfied,4,Exceeds Expectation,3,Meets Expectation
PR03,F5E3-48BB,2013-01-03,Neutral,Satisfied,Very Satisfied,3,2,Neutral,5,Above and Beyond,4,Exceeds Expectation
PR04,0678-748A,2013-01-04,Very Satisfied,Neutral,Dissatisfied,2,0,Dissatisfied,3,Meets Expectation,2,Needs Improvement
PR05,541F-3E19,2013-01-04,Very Satisfied,Dissatisfied,Neutral,1,0,Satisfied,4,Exceeds Expectation,3,Meets Expectation
PR06,F93E-BDEF,2013-01-04,Neutral,Neutral,Dissatisfied,2,0,Satisfied,4,Exceeds Expectation,4,Exceeds Expectation
PR07,9E7A-1F70,2013-01-08,Neutral,Satisfied,Very Satisfied,2,1,Very Satisfied,4,Exceeds Expectation,3,Meets Expectation
PR08,05ED-92F1,2013-01-10,Satisfied,Very Satisfied,Satisfied,1,1,Neutral,3,Meets Expectation,2,Needs Improvement
PR09,F72D-261D,2013-01-10,Satisfied,Very Satisfied,Dissatisfied,1,1,Satisfied,5,Above and Beyond,4,Exceeds Expectation
PR10,774E-685D,2013-01-11,Very Satisfied,Satisfied,Neutral,2,3,Satisfied,5,Above and Beyond,4,Exceeds Expectation
PR100,B013-7D0C,2013-04-10,Satisfied,Neutral,Neutral,2,0,Satisfied,3,Meets Expectation,3,Meets Expectation
PR1000,528C-3E0D,2016-03-16,Satisfied,Satisfied,Dissatisfied,2,2,Satisfied,5,Above and Beyond,5,Above and Beyond
PR1001,D077-169C,2016-03-17,Neutral,Very Satisfied,Neutral,2,2,Neutral,5,Above and Beyond,5,Above and Beyond
PR1002,9727-BC84,2016-03-18,Satisfied,Neutral,Neutral,2,2,Dissatisfied,4,Exceeds Expectation,3,Meets Expectation
PR1003,DA8E-9496,2016-03-18,Neutral,Very Satisfied,Satisfied,1,0,Very Satisfied,5,Above and Beyond,5,Above and Beyond
PR1004,DEC5-9319,2016-03-18,Neutral,Satisfied,Neutral,2,3,Dissatisfied,4,Exceeds Expectation,4,Exceeds Expectation
PR1005,88B8-EB84,2016-03-19,Neutral,Satisfied,Dissatisfied,3,1,Satisfied,5,Above and Beyond,5,Above and Beyond
PR1006,9C57-828C,2016-03-19,Very Satisfied,Satisfied,Dissatisfied,1,1,Dissatisfied,3,Meets Expectation,3,Meets Expectation
PR1007,E1B4-9AA1,2016-03-22,Very Satisfied,Satisfied,Neutral,3,2,Neutral,4,Exceeds Expectation,3,Meets Expectation
PR1008,3CD6-5587,2016-03-23,Very Satisfied,Satisfied,Dissatisfied,2,0,Satisfied,4,Exceeds Expectation,3,Meets Expectation
PR1009,BAFA-86DF,2016-03-23,Neutral,Neutral,Satisfied,2,1,Dissatisfied,3,Meets Expectation,3,Meets Expectation
